Objective,Comparison,W-stat,p-value
ITAE,PSO vs KMA,0.0,9.313225746154785e-10
ITAE,PSO vs GA,0.0,9.313225746154785e-10
ITAE,PSO vs HOA,0.0,9.313225746154785e-10
ITAE,PSO vs SKA,0.0,9.313225746154785e-10
IAE,PSO vs KMA,0.0,8.66653322099553e-07
IAE,PSO vs GA,0.0,9.313225746154785e-10
IAE,PSO vs HOA,0.0,9.313225746154785e-10
IAE,PSO vs SKA,0.0,9.313225746154785e-10
ISE,PSO vs KMA,0.0,8.655631974598643e-07
ISE,PSO vs GA,0.0,9.313225746154785e-10
ISE,PSO vs HOA,0.0,9.313225746154785e-10
ISE,PSO vs SKA,0.0,8.650185646450623e-07
ITSE,PSO vs KMA,0.0,9.313225746154785e-10
ITSE,PSO vs GA,0.0,9.313225746154785e-10
ITSE,PSO vs HOA,0.0,9.313225746154785e-10
ITSE,PSO vs SKA,0.0,9.313225746154785e-10
